ubicacion,pos_x,pos_y,pos_z,orientacion_x,orientacion_y,orientacion_z,orientacion_w
cocina,-3.00010331791,4.00048985731,0,-2.19366934429e-05,0.00385304579135,0.00386101518806,0.999985122949
aseo,1.0,3.0, 0.0 , 0.0 ,0.0 ,0.662,0.75


