ubicacion,pos_x,pos_y,pos_z,orientacion_x,orientacion_y,orientacion_z,orientacion_w
inicio,-2.880672683556464,3.9674587798030836,-0.0010023901212106653,-0.00265349095779099,0.0028040709715910377,0.685858327916431,0.7277248451162023
cocina,-3.00010331791,4.00048985731,0.0,-2.19366934429e-05,0.00385304579135,0.00386101518806,0.999985122949
aseo,1.0,3.0,0.0,0.0,0.0,0.662,0.75
